number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.7472818413948052,3.843774196293632,0.7177645164332866,logloss,0.008354153123955812,0.013203814478919057,17,195,binary:logistic,0.5614412190882784,gpu_hist,COMPLETE
1,0.7368332493699067,0.0016223654999199472,0.7507640022392137,logloss,0.010623550752601468,0.04330830306992073,20,59,binary:logistic,0.6452845508192232,gpu_hist,COMPLETE
2,0.7447968980014305,0.003246992385151529,0.9660183615707596,logloss,0.42470639993760234,0.009095127333739825,20,37,binary:logistic,0.8881096397007939,gpu_hist,COMPLETE
3,0.7255906362927377,0.22879679200185854,0.5338202680569722,logloss,0.003694071720703118,0.0030973899570732074,9,139,binary:logistic,0.6604516210206979,gpu_hist,COMPLETE
4,0.7461157249797823,0.004658646100841974,0.9398208610145777,logloss,0.0018750262835688348,0.012520679059366303,17,210,binary:logistic,0.992457832926268,gpu_hist,COMPLETE
5,0.731519369807108,2.9647693791287995,0.7005323345338398,logloss,4.05359009690571,0.004113251224314417,20,227,binary:logistic,0.8171727734629988,gpu_hist,COMPLETE
6,0.7172694873896116,0.005409793188252508,0.7658773210592511,logloss,0.2069080267273601,0.001747386956209172,9,14,binary:logistic,0.5046337120361906,gpu_hist,COMPLETE
7,0.7458899172677991,0.38831526935312416,0.9115988433034714,logloss,0.020526681666460062,0.020766837966474532,9,16,binary:logistic,0.766239174731564,gpu_hist,COMPLETE
8,0.7430258600540459,0.032386481778403226,0.5641725350420301,logloss,4.659389157487917,0.010187837474160667,9,23,binary:logistic,0.8099383796024087,gpu_hist,COMPLETE
9,0.7010640728032809,0.766240311362698,0.4214702345907063,logloss,0.002639592921251016,0.00425872940274482,3,293,binary:logistic,0.525005815266256,gpu_hist,COMPLETE
10,0.7203083934119274,6.8403561795742105,0.4368919653902171,logloss,0.042395556399256434,0.09866691616855965,17,133,binary:logistic,0.40030678663023833,gpu_hist,COMPLETE
11,0.7470019520228011,0.028699487656453155,0.8551597046396144,logloss,0.001032138192450469,0.017362425539810433,17,208,binary:logistic,0.9861667126375585,gpu_hist,COMPLETE
12,0.7462106754511302,0.037415193511925,0.8321644080478137,logloss,0.0010368768473314298,0.030580716988201744,15,209,binary:logistic,0.5566833293260152,gpu_hist,COMPLETE
13,0.7413808858138096,0.04267688849526489,0.6504917580440693,logloss,0.007734878766266385,0.05683373852138358,17,264,binary:logistic,0.9495045580567376,gpu_hist,COMPLETE
14,0.7475637860710447,1.4876563393396496,0.8458531171808145,logloss,0.042312705866860555,0.017767712065985573,13,170,binary:logistic,0.6011236785564688,gpu_hist,COMPLETE
15,0.7406366241007775,1.4627988530070812,0.32263380793351737,logloss,0.0683868508581317,0.0058496008708506285,13,96,binary:logistic,0.6030955412814127,gpu_hist,COMPLETE
16,0.746900479450842,6.219591208280503,0.8107309830989022,logloss,0.8348215600902287,0.02421720961734388,7,167,binary:logistic,0.45542940792542863,gpu_hist,COMPLETE
17,0.7420268361920015,1.698287670089432,0.5992021804592051,logloss,0.02824080113308023,0.0073830084163953175,13,172,binary:logistic,0.7408473288816066,gpu_hist,COMPLETE
18,0.6914783852930577,0.12257450050079902,0.6581889474476302,logloss,0.1218221909675793,0.0017313198068323562,5,109,binary:logistic,0.5879862311554371,gpu_hist,COMPLETE
19,0.7453817072809181,8.705324998472317,0.893026827231847,logloss,0.006808601741206816,0.01410970330234466,11,248,binary:logistic,0.6815320865015322,gpu_hist,COMPLETE
20,0.7048071724554945,0.6824507471222112,0.7475124195520728,logloss,1.1249227173864182,0.0010981281158678863,13,175,binary:logistic,0.4783542427169739,gpu_hist,COMPLETE
21,0.748127518861991,0.011029707265074443,0.851118307797954,logloss,0.01490206287795873,0.016427236490381858,17,190,binary:logistic,0.6062653356449977,gpu_hist,COMPLETE
22,0.7447633885545621,0.011863723642028354,0.8243488368912918,logloss,0.01693895522605985,0.036186339993168476,17,180,binary:logistic,0.6184492955016015,gpu_hist,COMPLETE
23,0.744488090728052,3.036108587385725,0.9958251132009868,logloss,0.06240985497923463,0.02391482005857231,5,115,binary:logistic,0.5505819017177127,gpu_hist,COMPLETE
24,0.7406921855242803,0.0010701717003640393,0.7119343576787215,logloss,0.00517004951793956,0.063138214274015,11,195,binary:logistic,0.7127793225842018,gpu_hist,COMPLETE
25,0.7464709722656403,0.11265108774256595,0.8852466399869093,logloss,0.17870625771638896,0.013201223015347615,15,244,binary:logistic,0.5852245469525605,gpu_hist,COMPLETE
26,0.7353647006670652,3.437578809932919,0.7918649738393712,logloss,0.01471251691355674,0.007129834126807883,7,148,binary:logistic,0.41039579432862894,gpu_hist,COMPLETE
27,0.747060638286687,0.01212562512964299,0.6845755615336415,logloss,0.030664527120300825,0.017263643138161967,13,77,binary:logistic,0.6603054075801542,gpu_hist,COMPLETE
