number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.70859740393601,1.563800671770324,0.7315225016017404,logloss,2.2235222192745745,0.0015113003863354688,11,228,binary:logistic,0.9048866502096252,gpu_hist,COMPLETE
1,0.7258276541994197,0.04666696620505968,0.7990421082817987,logloss,0.15811281721706444,0.004631220464139956,7,265,binary:logistic,0.645537350149219,gpu_hist,COMPLETE
2,0.7466643120052974,6.436868205839392,0.4334134805577559,logloss,0.00823556038908864,0.02145195755177149,9,20,binary:logistic,0.738561438200479,gpu_hist,COMPLETE
3,0.7471611028635444,0.011372904849994257,0.6738936881947122,logloss,2.856307838136192,0.02572859869244101,11,233,binary:logistic,0.42226752263759004,gpu_hist,COMPLETE
4,0.7396329782700131,0.00135119854275523,0.32650424528004635,logloss,0.5195959439282093,0.02596593937519265,3,141,binary:logistic,0.5367982857836434,gpu_hist,COMPLETE
5,0.7264142578935614,0.014337625409017816,0.41098691839136087,logloss,3.1005508469989285,0.0012140440904533521,17,87,binary:logistic,0.4381910249317853,gpu_hist,COMPLETE
6,0.745182216492871,0.028146358070299887,0.630589981678447,logloss,5.5391241730820635,0.06248201492880671,7,82,binary:logistic,0.7252067523232597,gpu_hist,COMPLETE
7,0.7313305961907972,0.6489691119143967,0.8059936464765887,logloss,0.30541281479182325,0.0029927281803473972,20,78,binary:logistic,0.6623476147631109,gpu_hist,COMPLETE
8,0.7471595441941614,1.5745539595864073,0.5498799456002211,logloss,0.03558014974206033,0.027015879376631656,9,128,binary:logistic,0.604270735190777,gpu_hist,COMPLETE
9,0.7244778190079108,0.0382792440784497,0.9725557061030494,logloss,0.7499894440865331,0.003200657067467704,15,288,binary:logistic,0.6000607418754265,gpu_hist,COMPLETE
10,0.7247939668917046,0.0012954140424638804,0.983180194394893,logloss,0.0012384814407750855,0.0998182265867987,11,209,binary:logistic,0.4194915889224307,gpu_hist,COMPLETE
11,0.7464386390445887,0.2728209993459204,0.5821322369290669,logloss,0.028727231741904363,0.01585043838980381,9,171,binary:logistic,0.5389044528410829,gpu_hist,COMPLETE
12,0.7457384204383739,0.006548409700382848,0.5335638924761155,logloss,0.04292813083685104,0.03699719666131202,13,147,binary:logistic,0.8515167262477356,gpu_hist,COMPLETE
13,0.7316533171584164,7.466862026140913,0.6938505546747198,logloss,0.006903007621280424,0.008957479894998144,5,201,binary:logistic,0.5230679883407338,gpu_hist,COMPLETE
14,0.7423210180899227,0.17403688747076876,0.5034014697142013,logloss,0.056159690376616056,0.00948339458780885,9,117,binary:logistic,0.7880337540076956,gpu_hist,COMPLETE
15,0.7444329802351034,0.004559522874427249,0.8592343093129209,logloss,9.273894164187762,0.043735277553554615,11,245,binary:logistic,0.472509396119257,gpu_hist,COMPLETE
16,0.7444439337077863,1.2771241761014116,0.6205464466685582,logloss,0.009762615544224397,0.015074013753436815,17,22,binary:logistic,0.9761337915175949,gpu_hist,COMPLETE
17,0.7333307760412398,0.10560251209412598,0.7234093277184059,logloss,0.9030707786315104,0.07806816850259927,13,187,binary:logistic,0.606119710724919,gpu_hist,COMPLETE
18,0.7446177584066618,0.41964934194741565,0.4772976110553337,logloss,0.12411743779901299,0.03926846899439325,15,298,binary:logistic,0.4126476532258668,gpu_hist,COMPLETE
19,0.7118490349885682,2.8867330280253167,0.31055878801556636,logloss,0.0010499370379616598,0.00635045577339599,3,114,binary:logistic,0.502268042885901,gpu_hist,COMPLETE
20,0.747655837584043,0.008709774293936323,0.5489236383070946,logloss,0.024630418293020838,0.021884796028972652,20,171,binary:logistic,0.586621245078186,gpu_hist,COMPLETE
21,0.7468973179358852,0.004997655104524051,0.5736413319630652,logloss,0.02065566956959231,0.025074185722038227,20,170,binary:logistic,0.6035067073542263,gpu_hist,COMPLETE
22,0.7476329700148999,0.015417377994680355,0.6692730704149717,logloss,0.07822029374620974,0.01489425335624326,20,239,binary:logistic,0.5828782920118826,gpu_hist,COMPLETE
23,0.7469553334996123,0.01264602179014963,0.6674336643354823,logloss,0.003899945537269522,0.014214227959173775,20,241,binary:logistic,0.4648126312529429,gpu_hist,COMPLETE
24,0.7460117293638542,0.0026117479637818523,0.7680364863657659,logloss,0.22119903662600196,0.01139959794909363,20,268,binary:logistic,0.561959987370408,gpu_hist,COMPLETE
25,0.7475268785304353,0.015232816283370068,0.8963657285815316,logloss,0.07481356735403916,0.019451732046502277,20,216,binary:logistic,0.6657312019597661,gpu_hist,COMPLETE
26,0.7429806221062875,0.02402855618828185,0.9012887932173463,logloss,0.06880271795101209,0.007150557403048735,20,207,binary:logistic,0.6726366503309182,gpu_hist,COMPLETE
27,0.7473017798602106,0.049084788988139956,0.8980083648007045,logloss,0.017589804874989887,0.018916707610761085,20,174,binary:logistic,0.7956981380313741,gpu_hist,COMPLETE
